,id,title,vote_average,overview
0,19404,Dilwale Dulhania Le Jayenge,9.1,raj rich carefree happy go lucky second generation nri simran daughter chaudhary baldev singh spite nri strict adherence indian value simran left india married childhood fianc raj leaf india mission hand claim lady love nose whole family thus begin saga
1,278,The Shawshank Redemption,8.5,framed double murder wife lover upstanding banker andy dufresne begin new life shawshank prison put accounting skill work amoral warden long stretch prison dufresne come admired inmate including older prisoner named red integrity unquenchable sense hope
2,238,The Godfather,8.5,spanning year chronicle fictional italian american corleone crime family organized crime family patriarch vito corleone barely survives attempt life youngest son michael step take care would killer launching campaign bloody revenge
3,372058,Your Name.,8.5,high schoolers mitsuha taki complete stranger living separate life one night suddenly switch place mitsuha wake taki body bizarre occurrence continues happen randomly two must adjust life around
4,155,The Dark Knight,8.3,batman raise stake war crime help lt jim gordon district attorney harvey dent batman set dismantle remaining criminal organization plague street partnership prof effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizen gotham joker
5,550,Fight Club,8.3,ticking time bomb insomniac slippery soap salesman channel primal male aggression shocking new form therapy concept catch underground fight club forming every town eccentric get way ignites control spiral toward oblivion
6,680,Pulp Fiction,8.3,burger loving hit man philosophical partner drug addled gangster moll washed boxer converge sprawling comedic crime caper adventure unfurl three story ingeniously trip back forth time
7,424,Schindler's List,8.3,true story businessman oskar schindler saved thousand jewish life nazi worked slave factory world war ii
8,244786,Whiplash,8.3,direction ruthless instructor talented young drummer begin pursue perfection cost even humanity
9,129,Spirited Away,8.3,ten year old girl wanders away parent along path lead world ruled strange unusual monster like animal parent changed pig along others inside bathhouse full creature ever see world
10,637,Life Is Beautiful,8.3,touching story italian book seller jewish ancestry life little fairy tale creative happy life would come abrupt halt entire family deported concentration camp world war ii locked try convince son whole thing game
11,240,The Godfather: Part II,8.3,continuing saga corleone crime family young vito corleone grows sicily new york michael corleone attempt expand family business la vega hollywood cuba
12,510,One Flew Over the Cuckoo's Nest,8.3,serving time insanity state mental hospital implacable rabble rouser randle patrick mcmurphy inspires fellow patient rebel authoritarian rule head nurse mildred ratched
13,539,Psycho,8.3,larcenous real estate clerk marion crane go lam wad cash hope starting new life end notorious bates motel manager norman bates care housebound mother place seems quirky fine marion decides take shower
14,311,Once Upon a Time in America,8.3,former prohibition era jewish gangster return lower east side manhattan thirty year later must confront ghost regret old life
15,13,Forrest Gump,8.2,man low iq accomplished great thing life present significant historic event case far exceeding anyone imagined could yet despite thing attained one true love eludes forrest gump story man rose challenge proved determination courage love important ability
16,1891,The Empire Strikes Back,8.2,epic saga continues luke skywalker hope defeating evil galactic empire learns way jedi aging master yoda darth vader determined ever capture luke meanwhile rebel leader princess leia cocky han solo chewbacca droids c po r thrown various stage capture betrayal despair
17,77338,The Intouchables,8.2,true story two men never met quadriplegic aristocrat injured paragliding accident young man project
18,101,Leon: The Professional,8.2,leon top hit man new york earned rep effective cleaner next door neighbor wiped loose cannon dea agent becomes unwilling custodian year old mathilda long mathilda thought turn revenge considers following leon footstep
19,497,The Green Mile,8.2,supernatural tale set death row southern prison gentle giant john coffey posse mysterious power heal people ailment cellblock head guard paul edgecomb recognizes coffey miraculous gift try desperately help stave condemned man execution
20,769,GoodFellas,8.2,true story henry hill half irish half sicilian brooklyn kid adopted neighbourhood gangster early age climb rank mafia family guidance jimmy conway
21,73,American History X,8.2,derek vineyard paroled serving year prison killing two thug tried break steal truck brother danny vineyard narration learn going prison derek skinhead leader violent white supremacist gang committed act racial crime throughout l action greatly influenced danny reformed fresh prison derek severs contact gang becomes determined keep danny going violent path
22,389,12 Angry Men,8.2,defense prosecution rested jury filing jury room decide young spanish american guilty innocent murdering father begin open shut case soon becomes mini drama juror prejudice preconception trial accused
23,4935,Howl's Moving Castle,8.2,sophie shy young woman cursed old body spiteful witch chance breaking spell lie self indulgent yet insecure young wizard companion legged walking home
24,128,Princess Mononoke,8.2,ashitaka prince disappearing ainu tribe cursed demonized boar god must journey west find cure along way encounter san young human woman fighting protect forest lady eboshi trying destroy ashitaka must find way bring balance conflict
25,598,City of God,8.2,cidade de deus shantytown started became one rio de janeiro dangerous place beginning tell story place movie describes life various character seen point view narrator buscap buscap raised violent environment despite feeling odds find life seen eye eye artist accident becomes professional photographer gaining freedom
26,567,Rear Window,8.2,professional photographer l b jeff jeffries break leg getting action shot auto race confined new york apartment spends time looking rear window observing neighbor begin suspect man across courtyard may murdered wife jeff enlists help high society fashion consultant girlfriend lisa freemont visiting nurse stella investigate
27,12477,Grave of the Fireflies,8.2,latter part world war ii boy sister orphaned mother killed firebombing tokyo left survive remains civilian life japan plot follows boy sister best survive japanese countryside battling hunger prejudice pride quiet personal battle
28,346,Seven Samurai,8.2,samurai answer village request protection fall hard time town need protection bandit samurai gather six others help teach people defend villager provide soldier food giant battle occurs bandit attack village
29,11216,Cinema Paradiso,8.2,filmmaker recall childhood fell love movie village theater formed deep friendship theater projectionist
30,265177,Mommy,8.2,peculiar neighbor offer hope recent widow struggling raise teenager unpredictable sometimes violent
31,331214,Band of Brothers,8.2,drawn interview survivor easy company well journal letter band brother chronicle experience men paratrooper training georgia end war elite rifle company parachuting normandy early day morning participant battle bulge witness horror war men easy knew extraordinary bravery extraordinary fear became stuff legend based stephen e ambrose acclaimed book name
32,975,Paths of Glory,8.2,world war commanding officer general broulard adolphe menjou order subordinate general mireau george macready attack german trench position offering promotion incentive though mission foolhardy point suicide mireau command subordinate colonel dax kirk douglas plan attack end disaster general mireau demand court martial three random soldier order save face
33,599,Sunset Boulevard,8.2,hack screenwriter writes screenplay former silent film star faded hollywood obscurity
34,27205,Inception,8.1,cobb skilled thief commits corporate espionage infiltrating subconscious target offered chance regain old life payment task considered impossible inception implantation another person idea target subconscious
35,157336,Interstellar,8.1,interstellar chronicle adventure group explorer make use newly discovered wormhole surpass limitation human space travel conquer vast distance involved interstellar voyage
36,122,The Lord of the Rings: The Return of the King,8.1,aragorn revealed heir ancient king gandalf member broken fellowship struggle save gondor sauron force meanwhile frodo sam bring ring closer heart mordor dark lord realm
37,11,Star Wars,8.1,princess leia captured held hostage evil imperial force effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo r c po rescue beautiful princess restore peace justice empire
38,807,Se7en,8.1,two homicide detective desperate hunt serial killer whose crime based seven deadly sin dark haunting film take viewer tortured remains one victim next seasoned det sommerset research sin effort get inside killer mind novice partner mill scoff effort unravel case
39,274,The Silence of the Lambs,8.1,fbi trainee clarice starling venture maximum security asylum pick diseased brain hannibal lecter psychiatrist turned homicidal cannibal starling need clue help capture serial killer faustian relationship lecter soon lead escape two deranged killer loose
40,77,Memento,8.1,suffering short term memory loss head injury leonard shelby embarks grim quest find lowlife murdered wife gritty complex thriller pack knot hangman noose carry plan shelby snap polaroid people place jotting contextual note back photo aid search jog memory even tattoo body desperate bid remember
41,694,The Shining,8.1,jack torrance accepts caretaker job overlook hotel along wife wendy son danny must live isolated rest world winter prepared madness lurks within
42,500,Reservoir Dogs,8.1,botched robbery indicates police informant pressure mount aftermath warehouse crime begets violence survivor veteran mr white newcomer mr orange psychopathic parolee mr blonde bickering weasel mr pink nice guy eddie unravel
43,629,The Usual Suspects,8.1,held l interrogation room verbal kint attempt convince fed mythic crime lord keyser soze exists also responsible drawing four partner multi million dollar heist ended explosion san pedro harbor leaving survivor verbal lure interrogator incredible story crime lord almost supernatural prowess
44,264644,Room,8.1,jack young boy year old lived life one room belief everything within real thing world happen suddenly tell thing outside room
45,207,Dead Poets Society,8.1,elite old fashioned boarding school new england passionate english teacher inspires student rebel convention seize potential every day courting disdain stern headmaster
46,103,Taxi Driver,8.1,mentally unstable vietnam war veteran work night time taxi driver new york city perceived decadence sleaze feed urge violent action attempting save preadolescent prostitute process
47,429,"The Good, the Bad and the Ugly",8.1,civil war rage union confederacy three men quiet loner ruthless hit man mexican bandit comb american southwest search strongbox containing stolen gold
48,423,The Pianist,8.1,pianist film adapted biography wladyslaw szpilman jewish polish pianist second world war lived hid miraculously warsaw gone terrible tragedy film roman polanski
49,335,Once Upon a Time in the West,8.1,classic western masterpiece epic film widow whose land life danger railroad getting closer closer taking mysterious harmonica player join force desperado protect woman land
50,3082,Modern Times,8.1,tramp struggle live modern industrial society help young homeless woman
51,914,The Great Dictator,8.1,dictator adenoid hynkel try expand empire poor jewish barber try avoid persecution hynkel regime
52,10376,The Legend of 1900,8.1,story virtuoso piano player life entire life aboard ocean liner born raised ship tim roth learned outside world interaction passenger never setting foot land even love life year later ship may destroyed former band member fear may still aboard willing go ship
53,120,The Lord of the Rings: The Fellowship of the Ring,8.0,young hobbit frodo baggins inheriting mysterious ring uncle bilbo must leave home order keep falling hand evil creator along way fellowship formed protect ringbearer make sure ring arrives final destination mt doom place destroyed
54,121,The Lord of the Rings: The Two Towers,8.0,frodo sam trekking mordor destroy one ring power gimli legolas aragorn search orc captured merry pippin along nefarious wizard saruman awaits fellowship member orthanc tower isengard
55,105,Back to the Future,8.0,eighty teenager marty mcfly accidentally sent back time inadvertently disrupting parent first meeting attracting mother romantic interest marty must repair damage history rekindling parent romance help eccentric inventor friend doc brown return
56,205596,The Imitation Game,8.0,based real life story legendary cryptanalyst alan turing film portrays nail biting race time turing brilliant team code breaker britain top secret government code cypher school bletchley park darkest day world war ii
57,8587,The Lion King,8.0,young lion cub named simba wait king uncle craves title stop nothing get
58,120467,The Grand Budapest Hotel,8.0,grand budapest hotel tell legendary concierge famous european hotel war friendship young employee becomes trusted prot g story involves theft recovery priceless renaissance painting battle enormous family fortune slow sudden upheaval transformed europe first half th century
59,1124,The Prestige,8.0,mysterious story two magician whose intense rivalry lead life long battle supremacy full obsession deceit jealousy dangerous deadly consequence
60,185,A Clockwork Orange,8.0,demonic gang leader alex go spree rape mugging murder pack droogs boy also like beethoven ninth bit old later find mercy state brainwashing experiment designed take violence street
61,111,Scarface,8.0,getting green card exchange assassinating cuban government official tony montana stake claim drug trade miami viciously murdering anyone stand way tony eventually becomes biggest drug lord state controlling nearly cocaine come miami increased pressure police war colombian drug cartel drug fueled paranoia serve fuel flame eventual downfall
62,28,Apocalypse Now,8.0,height vietnam war captain benjamin willard sent dangerous mission officially exist ever exist goal locate eliminate mysterious green beret colonel named walter kurtz leading personal army illegal guerrilla mission enemy territory
63,670,Oldboy,8.0,clue came imprisoned drugged tortured year desperate businessman seek revenge captor
64,8392,My Neighbor Totoro,8.0,two sister move country father order closer hospitalized mother discover surrounding tree inhabited totoros magical spirit forest youngest run away home older sister seek help spirit find
65,334543,Lion,8.0,five year old indian boy get lost street calcutta thousand kilometer home survives many challenge adopted couple australia year later set find lost family
66,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0,insane general jack ripper initiate nuclear strike soviet union soon action general buck turgidson discovered war room full politician general russian diplomat frantically try stop nuclear strike near end scene probably uniquely unforgettable performance slim pickens movie career peter seller play multiple role film
67,15,Citizen Kane,8.0,newspaper magnate charles foster kane taken mother boy made ward rich industrialist result every well meaning tyrannical self destructive move make rest life appears way reaction deeply wounding event
68,426,Vertigo,8.0,retired san francisco detective suffering acrophobia investigates strange activity old friend wife becoming dangerously obsessed
69,1585,It's a Wonderful Life,8.0,george bailey spent entire life giving people bedford fall always longed travel never opportunity order prevent rich skinflint mr potter taking entire town prevents george modest building loan company founded generous father christmas eve george uncle billy loses business intending deposit bank potter find misplaced money hide billy george trouble begin
70,239,Some Like It Hot,8.0,two musician witness mob hit struggle find way city found gangster opportunity join girl band leave tour make getaway must first disguise woman keep identity secret deal problem brings attractive bandmate determined suitor
71,140420,Paperman,8.0,urban office worker find paper airplane instrumental meeting girl way never expected
72,369557,Sing Street,8.0,boy growing dublin escape strained family life starting band impress mysterious girl like
73,19,Metropolis,8.0,futuristic city sharply divided working class city planner son city mastermind fall love working class prophet predicts coming savior mediate difference
74,118340,Guardians of the Galaxy,7.9,light year earth year abducted peter quill find prime target manhunt discovering orb wanted ronan accuser
75,603,The Matrix,7.9,set nd century matrix tell story computer hacker join group underground insurgent fighting vast powerful computer rule earth
76,106646,The Wolf of Wall Street,7.9,new york stockbroker refuse cooperate large security fraud case involving corruption wall street corporate banking world mob infiltration based jordan belfort autobiography
77,16869,Inglourious Basterds,7.9,nazi occupied france world war ii group jewish american soldier known basterds chosen specifically spread fear throughout third reich scalping brutally killing nazi basterds lead lt aldo raine soon cross path french jewish teenage girl run movie theater paris targeted soldier
78,12445,Harry Potter and the Deathly Hallows: Part 2,7.9,harry ron hermione continue quest vanquish evil voldemort thing begin look hopeless young wizard harry discovers trio magical object endow power rival voldemort formidable skill
79,210577,Gone Girl,7.9,wife disappearance become focus intense medium circus man see spotlight turned suspected may innocent
80,98,Gladiator,7.9,year death emperor marcus aurelius throw roman empire chaos maximus one roman army capable trusted general key advisor emperor marcus devious son commodus ascends throne maximus set executed escape captured slave trader renamed spaniard forced become gladiator maximus must battle death men amusement paying audience battle skill serve well becomes one famous admired men fight colosseum determined avenge man took away freedom laid waste family maximus belief use fame skill ring avenge loss family former glory gladiator begin challenge rule commodus decides put fighting mettle test squaring maximus battle death
81,857,Saving Private Ryan,7.9,u troop storm beach normandy three brother lie dead battlefield fourth trapped behind enemy line ranger captain john miller seven men tasked penetrating german held territory bringing boy home
82,1892,Return of the Jedi,7.9,rebel leader map strategy attack emperor newer bigger death star han solo remains frozen cavernous desert fortress jabba hutt loathsome outlaw universe also keeping princess leia slave girl master force luke skywalker rescue friend cannot become true jedi knight wage crucial battle darth vader sworn win luke dark side force
83,313369,La La Land,7.9,mia aspiring actress serf latte movie star audition sebastian jazz musician scrape playing cocktail party gig dingy bar success mount faced decision begin fray fragile fabric love affair dream worked hard maintain threaten rip apart
84,348,Alien,7.9,return earth commercial spaceship nostromo intercept distress signal distant planet three member team crew discovers chamber containing thousand egg planet creature inside one egg attack explorer entire crew unaware impending nightmare set descend upon alien parasite planted inside unfortunate host birthed
85,1422,The Departed,7.9,take south boston irish mafia police send one infiltrate underworld realizing syndicate done likewise undercover cop curry favor mob kingpin career criminal rise police rank side soon discover mole among
86,152601,Her,7.9,distant future theodore lonely writer purchase newly developed operating system designed meet user every need theordore surprise romantic relationship develops operating system unconventional love story blend science fiction romance sweet tale explores nature love way technology isolates connects u
87,78,Blade Runner,7.9,smog choked dystopian los angeles blade runner rick deckard called retirement terminate quartet replicants escaped earth seeking creator way extend short life span
88,76203,12 Years a Slave,7.9,pre civil war united state solomon northup free black man upstate new york abducted sold slavery facing cruelty well unexpected kindness solomon struggle stay alive retain dignity twelfth year unforgettable odyssey solomon chance meeting canadian abolitionist forever alter life
89,38,Eternal Sunshine of the Spotless Mind,7.9,joel barish heartbroken girlfriend underwent procedure erase memory decides however watch memory fade away realises still love may late correct mistake
90,14,American Beauty,7.9,lester burnham depressed suburban father mid life crisis decides turn hectic life around developing infatuation daughter attractive friend
91,146233,Prisoners,7.9,keller dover daughter friend go missing take matter hand police pursue multiple lead pressure mount far desperate father go protect family
92,62,2001: A Space Odyssey,7.9,humanity find mysterious object buried beneath lunar surface set find origin help hal world advanced super computer
93,152532,Dallas Buyers Club,7.9,loosely based true life tale ron woodroof drug taking woman loving homophobic man diagnosed hiv aid given thirty day live
94,489,Good Will Hunting,7.9,hunting genius level iq chooses work janitor mit solves difficult graduate level math problem talent discovered professor gerald lambeau decides help misguided youth reach potential arrested attacking police officer professor lambeau make deal get leniency get treatment therapist sean maguire
95,600,Full Metal Jacket,7.9,pragmatic u marine observes dehumanizing effect u vietnam war fellow recruit brutal boot camp training bloody street fighting hue
